InfoID,DOB,Gender,FatherName,GuardianName,ContactNo,Cnic,Nationality,PersonalEmail,Address,City,Country
1,5/15/2005,Female,Ahmed Ali,Ahmed Ali,12345671,99611-3812752-7,Pakistani,razaahmed@gmail.com,,Lahore,Pakistan
2,7/6/2004,Male,Naqvi Naqvi,Naqvi Naqvi,12345672,15323-7761336-9,Pakistani,mohsinnaqvi@gmail.com,,Gilgit,Pakistan
3,9/2/2003,Male,Murtaza Abbas,Murtaza Abbas,12345673,63206-9921334-5,Pakistani,salarmurtaza@gmail.com,,Karachi,Pakistan
4,6/1/2004,Male,Wasim Ali,Wasim Ali,12345674,38754-9902999-6,Pakistani,sarahwasim@gmail.com,,Multan,Pakistan
5,7/3/2001,Female,Ali Naqvi,Ali Naqvi,12345675,19485-4195609-4,Pakistani,ahmedali@gmail.com,,Gilgit,Pakistan
6,6/5/2002,Male,Ali Ali,Ali Ali,12345676,92004-8519808-8,Pakistani,fatimaali@gmail.com,,Multan,Pakistan
7,4/24/2002,Male,Ibrahim Abbas,Ibrahim Abbas,12345677,89714-3030684-7,Pakistani,muhammadibrahim@gmail.com,,Karachi,Pakistan
8,10/23/2002,Female,Khan Naqvi,Khan Naqvi,12345678,59134-6472204-6,Pakistani,sana khan@gmail.com,,Gilgit,Pakistan
9,8/20/2000,Male,Hussain Ullah,Hussain Ullah,12345679,21897-1738526-9,Pakistani,alihussain@gmail.com,,Gilgit,Pakistan
10,7/4/2001,Female,Ahmed Malik,Ahmed Malik,12345680,61666-7950757-1,Pakistani,nimraahmed@gmail.com,,Multan,Pakistan
11,3/17/2001,Female,Umer Naqvi,Umer Naqvi,12345681,18657-9992554-8,Pakistani,harisumer@gmail.com,,Multan,Pakistan
12,1/15/2001,Female,Abbas Malik,Abbas Malik,12345682,75028-5626289-1,Pakistani,munirabbas@gmail.com,,Multan,Pakistan
13,8/10/2004,Female,Hayat Abbas,Hayat Abbas,12345683,47424-6642281-2,Pakistani,kamranhayat@gmail.com,,Lahore,Pakistan
14,8/17/2001,Male,Ahsan Malik,Ahsan Malik,12345684,79744-8279789-1,Pakistani,muhammadahsan@gmail.com,,Islamabad,Pakistan
15,12/5/1998,Female,Malik Malik,Malik Malik,12345685,91756-2848097-8,Pakistani,sultanmalik@gmail.com,,Lahore,Pakistan
16,7/3/2002,Female,Ali Ali,Ali Ali,12345686,95527-2891428-9,Pakistani,jaffarali@gmail.com,,Islamabad,Pakistan
17,2/11/2000,Female,Sarwar Abbas,Sarwar Abbas,12345687,60550-6090978-5,Pakistani,saleemsarwar@gmail.com,,Karachi,Pakistan
18,5/14/2002,Female,Bano Naqvi,Bano Naqvi,12345688,52653-6744797-1,Pakistani,kulsumbano@gmail.com,,Karachi,Pakistan
19,5/2/2000,Male,Malik Abbas,Malik Abbas,12345689,56786-7042919-1,Pakistani,ayesha malik@gmail.com,,Lahore,Pakistan
20,12/5/2000,Female,Khan Ali,Khan Ali,12345690,74932-2655913-8,Pakistani,fahad khan@gmail.com,,Islamabad,Pakistan
21,6/25/2004,Male,Ahmed Malik,Ahmed Malik,12345691,85094-6037424-3,Pakistani,sana ahmed@gmail.com,,Lahore,Pakistan
22,1/19/2002,Female,Ali Naqvi,Ali Naqvi,12345692,18954-6648197-5,Pakistani,hassan ali@gmail.com,,Multan,Pakistan
23,9/3/2004,Female,Shah Ullah,Shah Ullah,12345693,15193-3470089-9,Pakistani,fatima shah@gmail.com,,Islamabad,Pakistan
24,5/25/2002,Female,Taqi Ullah,Taqi Ullah,12345694,83841-3018676-1,Pakistani,usman taqi@gmail.com,,Lahore,Pakistan
25,2/9/2005,Female,Hassan Abbas,Hassan Abbas,12345695,81277-1679572-1,Pakistani,sara hassan@gmail.com,,Gilgit,Pakistan
26,2/18/2004,Female,Raza Naqvi,Raza Naqvi,12345696,26871-9003718-7,Pakistani,ahmed raza@gmail.com,,Lahore,Pakistan
27,3/8/2004,Male,Khan Naqvi,Khan Naqvi,12345697,89124-3331050-7,Pakistani,zainab khan@gmail.com,,Karachi,Pakistan
28,5/15/2003,Male,Ahmed Naqvi,Ahmed Naqvi,12345698,92676-4712528-4,Pakistani,bilal ahmed@gmail.com,,Lahore,Pakistan
29,12/3/1999,Male,Iqbal Naqvi,Iqbal Naqvi,12345699,81729-1812982-9,Pakistani,mariaiqbal@gmail.com,,Multan,Pakistan
30,4/8/1999,Female,Shareef Ali,Shareef Ali,12345700,23990-4573589-2,Pakistani,imran shareef@gmail.com,,Multan,Pakistan
31,4/9/2005,Female,Nouman Malik,Nouman Malik,12345701,88675-4656920-3,Pakistani,sadia nouman@gmail.com,,Gilgit,Pakistan
32,5/19/2000,Male,Malik Ali,Malik Ali,12345702,71026-1486131-5,Pakistani,shahidmalik@gmail.com,,Karachi,Pakistan
